FullName,ImpactFactor
Chronic Stress,1.472
Clinical and Translational Immunology,1.472
Frontiers in Endocrinology,1.472
Journal of ISAKOS,1.472
Neuro-Oncology Advances,1.472
Sleep Medicine Clinics,1.472
IEEE Transactions on Instrumentation and Measurement,1.471
Journal of Fluid Mechanics,1.471
Neurocomputing,1.471
Resources Chemicals and Materials,1.471
Asia Pacific Journal of Management,1.47
Cancer Biology and Medicine,1.47
European Journal of Ageing,1.47
Review of International Studies,1.47
American Journal of Roentgenology,1.469
Cell Stress,1.469
Nursing Ethics,1.469
Pathologica,1.469
Social Cognitive and Affective Neuroscience,1.469
Environment and Planning E: Nature and Space,1.468
Applied Surface Science Advances,1.467
Cultural Diversity and Ethnic Minority Psychology,1.467
Innovation: Organization and Management,1.467
Journal of Chemical Information and Modeling,1.467
Radiology: Cardiothoracic Imaging,1.467
Environmental Modelling and Software,1.466
Osteoporosis International,1.466
Annals of General Psychiatry,1.465
Frontiers in Neural Circuits,1.465
American Journal of Physiology - Heart and Circulatory Physiology,1.464
IEEE Transactions on Information Theory,1.464
ISPRS Open Journal of Photogrammetry and Remote Sensing,1.463
Cancers,1.462
International Journal of Coal Science and Technology,1.461
Journal of Substance Use and Addiction Treatment,1.461
Applications in Energy and Combustion Science,1.46
Journal of Racial and Ethnic Health Disparities,1.46
Annals of the New York Academy of Sciences,1.458
"Anxiety, Stress and Coping",1.458
Philosophers Imprint,1.458
Physical Review D,1.458
Seminars in Liver Disease,1.457
Applied Soil Ecology,1.456
Archives of Toxicology,1.456
Environmental Science: Processes and Impacts,1.456
Health and Place,1.456
Attachment and Human Development,1.455
Educational Policy,1.455
El-Mashlahah,1.455
Frontiers in Aging,1.455
General Hospital Psychiatry,1.455
European Eating Disorders Review,1.454
Journal of Environmental Chemical Engineering,1.454
Journal of Exposure Science and Environmental Epidemiology,1.454
Psychoneuroendocrinology,1.454
Sociology of Race and Ethnicity,1.454
Economica,1.453
Population Health Metrics,1.453
Forum Geografi,1.452
International Journal of Logistics Research and Applications,1.452
Journal of Career Assessment,1.452
Journal of Pharmaceutical Analysis,1.452
Wiley Interdisciplinary Reviews: Computational Statistics,1.452
Nutrition Research Reviews,1.451
Advanced Agrochem,1.45
Cerebral Cortex,1.45
Journal of Research in Crime and Delinquency,1.45
Proceedings of the Royal Society B: Biological Sciences,1.45
Psychology of Sport and Exercise,1.45
Psychotherapy,1.45
Computing and Software for Big Science,1.449
Seminars in Hematology,1.449
"Sustainability Accounting, Management and Policy Journal",1.449
Hematology. American Society of Hematology. Education Program,1.448
JAMA Otolaryngology - Head and Neck Surgery,1.448
Computers in Biology and Medicine,1.447
European Journal of Social Psychology,1.447
IEEE Transactions on Software Engineering,1.447
Neurobiology of Aging,1.447
Academic Medicine,1.446
Perspectives in Ecology and Conservation,1.446
Computers and Security,1.445
Games and Economic Behavior,1.445
Revista de Investigacoes Constitucionais,1.445
Topics in Current Chemistry,1.445
Green Synthesis and Catalysis,1.444
Materials Chemistry Frontiers,1.444
Journal of Geovisualization and Spatial Analysis,1.442
Medicine and Science in Sports and Exercise,1.442
Applied Psychology: Health and Well-Being,1.441
IEEE Transactions on Services Computing,1.441
Open Forum Infectious Diseases,1.441
Atmospheric Research,1.44
Chinese Journal of Aeronautics,1.44
Digital Communications and Networks,1.44
European Journal of Teacher Education,1.44
Sociological Methodology,1.44
Diabetic Medicine,1.439
Information Technology for Development,1.439
INFORMS Journal on Computing,1.439
International Journal of Bank Marketing,1.439
Medical Education,1.439
Journal of Biogeography,1.438
Journal of Translational Internal Medicine,1.438
Oikos,1.438
Bulletin of Volcanology,1.437
Developmental Neurobiology,1.437
Journal of Economic Behavior and Organization,1.437
Journal of Esthetic and Restorative Dentistry,1.437
Machine Learning and Knowledge Extraction,1.437
National Tax Journal,1.437
Quality of Life Research,1.436
Thrombosis and Haemostasis,1.436
Cancer Research and Treatment,1.434
Pulmonology,1.434
Environmental Technology and Innovation,1.433
Adversity and Resilience Science,1.432
Archives of Suicide Research,1.432
Biochimica et Biophysica Acta - Molecular Basis of Disease,1.432
Global Business and Organizational Excellence,1.432
Journal of Geophysical Research: Biogeosciences,1.432
Suicide and Life-Threatening Behavior,1.432
Antimicrobial Agents and Chemotherapy,1.431
Global and Planetary Change,1.431
IEEE Transactions on Artificial Intelligence,1.431
Phytochemistry Reviews,1.431
Journal of the American Medical Directors Association,1.43
Educational Technology Research and Development,1.429
International Journal of Thermofluids,1.429
Journal of Automation and Intelligence,1.429
Psychosocial Intervention,1.429
Journal of Hospitality and Tourism Research,1.428
Planning Theory,1.428
Journal of Hepato-Biliary-Pancreatic Sciences,1.427
Precambrian Research,1.427
Safety Science,1.427
Governance,1.426
Headache,1.426
Journal of Interpersonal Violence,1.426
Canadian Journal of Psychiatry,1.425
Journal of Cataract and Refractive Surgery,1.425
Journal of Immunology,1.425
Matrix Biology Plus,1.425
"Journal of Law, Economics, and Organization",1.424
Mass Communication and Society,1.424
Operations Management Research,1.424
Angle Orthodontist,1.423
Social Science Research,1.423
Political Research Quarterly,1.422
Review of Income and Wealth,1.422
Applied Materials Today,1.421
Current Heart Failure Reports,1.421
EPMA Journal,1.421
Journal of Future Foods,1.421
Cognitive Behaviour Therapy,1.42
Journal of Comparative Economics,1.42
Economic Theory,1.419
Health Communication,1.419
Journal of Climate Finance,1.419
Journal of Ginseng Research,1.419
Personality and Individual Differences,1.419
Urban Geography,1.419
Communication and Sport,1.418
World Journal of Gastroenterology,1.418
Annual Review of Applied Linguistics,1.417
Economic Modelling,1.417
International Journal of Urban and Regional Research,1.417
Composites Communications,1.416
Mineral Processing and Extractive Metallurgy Review,1.416
British Journal of Health Psychology,1.415
Lung Cancer: Targets and Therapy,1.415
Research in International Business and Finance,1.415
Scientific Studies of Reading,1.415
Security Studies,1.414
Autoimmunity Highlights,1.413
Cleaner Environmental Systems,1.413
Journal of Evolution Equations,1.413
Policy and Politics,1.413
Environment and Planning D: Society and Space,1.412
International Forum of Allergy and Rhinology,1.412
Journal of Archaeological Method and Theory,1.412
Stress and Health,1.412
Electronic Commerce Research and Applications,1.411
International Journal of Manpower,1.411
Regional Anesthesia and Pain Medicine,1.411
ACS Nanoscience Au,1.41
Bioinformatics Advances,1.41
Current Nutrition Reports,1.41
Design Studies,1.41
Industry and Innovation,1.41
International Journal of Bilingual Education and Bilingualism,1.41
Redox Report,1.41
Thinking Skills and Creativity,1.41
Harm Reduction Journal,1.409
Revista Matematica Iberoamericana,1.409
Current Research in Food Science,1.408
Education Finance and Policy,1.408
Public Health Reports,1.408
Technometrics,1.408
Translational Oncology,1.408
Emotion Review,1.407
European Journal of Psychological Assessment,1.407
European Sport Management Quarterly,1.407
MicroLife,1.407
Research on Child and Adolescent Psychopathology,1.407
Syntax,1.407
Plant Reproduction,1.406
Structural Change and Economic Dynamics,1.406
Evolutionary Anthropology,1.405
Housing Policy Debate,1.405
International Journal for Educational Integrity,1.405
Journal of Geophysical Research: Oceans,1.405
Politics and Gender,1.405
Emerging Markets Review,1.404
Australasian Marketing Journal,1.403
ESC Heart Failure,1.403
Journal of Urban Mobility,1.403
Regulation and Governance,1.403
Canadian Geotechnical Journal,1.402
Journal of Cancer Survivorship,1.402
Marine Pollution Bulletin,1.402
Heart Failure Reviews,1.401
Indiana University Mathematics Journal,1.401
Lupus Science and Medicine,1.401
Materials Today Electronics,1.401
Renewable and Sustainable Energy Transition,1.401
American Journal of Nephrology,1.4
JCPP Advances,1.4
Nature-Based Solutions,1.4
"Proteins: Structure, Function and Bioinformatics",1.4
SIAM Journal on Computing,1.4
Vehicle System Dynamics,1.399
Dianli Xitong Zidonghua/Automation of Electric Power Systems,1.398
European Journal of Combinatorics,1.398
Journal of Advanced Nursing,1.398
Prevention Science,1.398
Sensors International,1.398
Smart Cities,1.398
Chemical Record,1.397
European Journal of Innovation Management,1.397
Journal of Diabetes Science and Technology,1.397
Molecular Neurobiology,1.397
Natural Gas Industry,1.397
Artificial Intelligence in Medicine,1.396
Food Science and Human Wellness,1.396
Review of Economics of the Household,1.395
Chemical Geology,1.394
IEEE/ACM Transactions on Networking,1.394
International Journal of Human Computer Studies,1.394
Journal of Physical Chemistry Letters,1.394
Ocean Engineering,1.394
Structural Control and Health Monitoring,1.394
Acta Ophthalmologica,1.393
Clinical Kidney Journal,1.393
Frontiers in Cellular and Infection Microbiology,1.393
International Journal of Life Cycle Assessment,1.393
Journal of Human Evolution,1.393
American Journal of Physiology - Endocrinology and Metabolism,1.392
Conflict and Health,1.392
Ocean Science,1.392
Earth Systems and Environment,1.391
Geography Compass,1.391
Neuroepidemiology,1.391
Plant and Cell Physiology,1.391
American Journal of Physiology - Gastrointestinal and Liver Physiology,1.39
Journal of Phonetics,1.39
Obesity Facts,1.39
Inflammation Research,1.388
JACC: Advances,1.388
Journalism Practice,1.388
Philosophical Quarterly,1.388
SIAM Journal on Optimization,1.388
Nonlinear Analysis: Hybrid Systems,1.387
Psychology of Religion and Spirituality,1.387
Biomaterials Translational,1.386
Carbon Resources Conversion,1.386
MRS Bulletin,1.386
Complex System Modeling and Simulation,1.385
Journal of Healthcare Informatics Research,1.385
Motivation Science,1.385
"Resources, Conservation and Recycling Advances",1.385
Review of International Organizations,1.385
International Journal of Behavioral Development,1.384
Journal of Telemedicine and Telecare,1.384
ACS Chemical Biology,1.383
Asia Pacific Journal of Human Resources,1.383
Computational Communication Research,1.383
"Physics Letters, Section B: Nuclear, Elementary Particle and High-Energy Physics",1.383
Environmental Evidence,1.382
Journal of General Physiology,1.382
Journal of the American Taxation Association,1.382
Current Opinion in Colloid and Interface Science,1.381
Environmental and Resource Economics,1.381
European Accounting Review,1.381
Human Genomics,1.381
Human-Machine Communication,1.381
International Journal of Molecular Medicine,1.381
Social Movement Studies,1.381
Therapeutic Advances in Endocrinology and Metabolism,1.381
Drug Delivery,1.38
AAPPS Bulletin,1.379
Perspectives on Medical Education,1.379
ACS Applied Energy Materials,1.378
American Journal of Geriatric Psychiatry,1.378
Arthroplasty,1.378
"Sustainable Energy, Grids and Networks",1.378
American Journal of Education,1.377
Best Practice and Research: Clinical Obstetrics and Gynaecology,1.377
Grain and Oil Science and Technology,1.377
International Journal of Food Contamination,1.377
International Political Science Review,1.377
Journal of Cellular Physiology,1.377
Journal of Global Economic Analysis,1.377
Tribology International,1.377
Advanced Membranes,1.376
Bone and Joint Research,1.376
Disability and Health Journal,1.376
Investigative Ophthalmology and Visual Science,1.376
Neurology and Therapy,1.376
BMC Psychiatry,1.375
British Journal of Industrial Relations,1.375
Foot and Ankle International,1.375
Australasian Journal of Philosophy,1.374
Journal of Research in Personality,1.374
Social Science Computer Review,1.374
Journal of Nanostructure in Chemistry,1.373
Biostatistics,1.372
Health Policy and Planning,1.372
International Review of Economics and Finance,1.372
Journal of Artificial Intelligence Research,1.372
Oil and Gas Geology,1.372
Ophthalmology Glaucoma,1.372
British Journal of General Practice,1.371
Health Expectations,1.371
British Journal of Psychology,1.37
Data Science and Management,1.37
International Psychogeriatrics,1.37
Journal of Tissue Engineering,1.37
PLoS Neglected Tropical Diseases,1.37
Psychology of Addictive Behaviors,1.37
Therapeutic Advances in Gastroenterology,1.37
Plant Phenomics,1.369
Immune Network,1.368
Railway Engineering Science,1.368
Cephalalgia,1.367
ERJ Open Research,1.367
International Journal of Accounting Information Systems,1.367
Journal of Mathematics Teacher Education,1.367
Liver Transplantation,1.367
Science Education,1.367
Chinese Medical Journal Pulmonary and Critical Care Medicine,1.366
Personnel Review,1.366
Second Language Research,1.366
Sports Health,1.366
American Journal of Community Psychology,1.365
Cardiac Failure Review,1.365
GPS Solutions,1.365
Materials Today Sustainability,1.365
Genes Chromosomes and Cancer,1.364
International Nursing Review,1.364
Journal of Services Marketing,1.364
American Journal of Physiology - Renal Fluid and Electrolyte Physiology,1.363
Health Policy,1.363
iScience,1.363
Postharvest Biology and Technology,1.363
ACM Transactions on Intelligent Systems and Technology,1.362
